iter	RMSE
0	44.50849382
1	44.42824216
2	44.34497197
3	44.24264556
4	44.14646491
5	44.05232245
6	43.95708334
7	43.85289477
8	43.75746693
9	43.65420908
10	43.55633725
11	43.46713675
12	43.36542534
13	43.29035049
14	43.21182167
15	43.12089485
16	43.02142562
17	42.93549197
18	42.83579496
19	42.76378303
20	42.69077504
21	42.61713721
22	42.54270911
23	42.44251957
24	42.36435311
25	42.29365663
26	42.20753372
27	42.12854295
28	42.04424529
29	41.9483892
30	41.87354021
31	41.78465524
32	41.69845158
33	41.6303055
34	41.55425426
35	41.46730921
36	41.39349123
37	41.30743921
38	41.20693948
39	41.11448294
40	41.02146901
41	40.94982661
42	40.8512691
43	40.77641489
44	40.69890678
45	40.61201263
46	40.52402
47	40.43196187
48	40.33641619
49	40.2649573
50	40.17849425
51	40.09284108
52	40.00361336
53	39.93359552
54	39.86536977
55	39.78191117
56	39.71279923
57	39.65041908
58	39.58001231
59	39.50816338
60	39.444339
61	39.38234758
62	39.29877812
63	39.21624823
64	39.1550602
65	39.09238259
66	39.02557906
67	38.95810733
68	38.86642701
69	38.80147025
70	38.72763797
71	38.66265997
72	38.65388487
73	38.57024602
74	38.50579857
75	38.43033334
76	38.36323316
77	38.27287492
78	38.20227766
79	38.13028989
80	38.0692367
81	37.97981729
82	37.91480385
83	37.84038542
84	37.76148284
85	37.68358163
86	37.59377884
87	37.50549948
88	37.50139209
89	37.43861236
90	37.37274889
91	37.29163272
92	37.23253332
93	37.14974913
94	37.07057503
95	36.98246448
96	36.92121287
97	36.85651123
98	36.7706602
99	36.68763958
