iter	Passed	Remaining
0	0	93
1	1	80
2	8	285
3	38	925
4	64	1233
5	78	1237
6	105	1403
7	134	1549
8	161	1632
9	189	1706
10	215	1744
11	241	1770
12	267	1790
13	267	1646
14	269	1526
15	284	1492
16	310	1515
17	314	1431
18	339	1449
19	340	1361
20	341	1284
21	341	1212
22	343	1148
23	368	1166
24	396	1189
25	396	1129
26	410	1108
27	436	1122
28	440	1077
29	467	1090
30	474	1056
31	488	1037
32	515	1047
33	516	1001
34	542	1007
35	569	1012
36	576	981
37	580	947
38	608	952
39	635	952
40	661	952
41	663	916
42	691	917
43	698	889
44	705	862
45	732	860
46	745	840
47	773	837
48	800	832
49	807	807
50	832	800
51	859	793
52	886	786
53	890	758
54	891	729
55	919	722
56	946	713
57	946	685
58	947	658
59	954	636
60	954	610
61	955	585
62	981	576
63	1009	567
64	1010	543
65	1010	520
66	1010	497
67	1038	488
68	1064	478
69	1067	457
70	1095	447
71	1096	426
72	1103	408
73	1130	397
74	1130	376
75	1156	365
76	1183	353
77	1211	341
78	1241	329
79	1270	317
80	1276	299
81	1305	286
82	1332	273
83	1362	259
84	1388	245
85	1415	230
86	1430	213
87	1457	198
88	1457	180
89	1464	162
90	1490	147
91	1517	131
92	1518	114
93	1544	98
94	1551	81
95	1579	65
96	1580	48
97	1609	32
98	1635	16
99	1662	0
