iter	Passed	Remaining
0	0	409
1	1	385
2	1	329
3	2	285
4	2	260
5	3	251
6	3	236
7	3	229
8	4	221
9	4	213
10	4	204
11	4	196
12	5	191
13	5	187
14	5	184
15	5	180
16	6	178
17	6	176
18	7	179
19	7	176
20	7	174
21	7	171
22	8	169
23	8	166
24	8	164
25	8	162
26	9	160
27	9	158
28	9	157
29	10	159
30	10	159
31	10	159
32	11	158
33	11	157
34	11	157
35	12	156
36	12	155
37	12	154
38	13	153
39	13	153
40	13	152
41	13	151
42	14	150
43	14	149
44	14	149
45	15	148
46	15	147
47	15	147
48	15	146
49	16	145
50	16	144
51	16	144
52	17	144
53	17	148
54	18	147
55	18	146
56	18	146
57	19	145
58	19	144
59	19	143
60	19	142
61	20	142
62	20	141
63	20	140
64	20	139
65	21	138
66	21	137
67	21	136
68	21	136
69	22	135
70	22	134
71	22	133
72	22	132
73	23	132
74	23	131
75	23	131
76	23	130
77	24	130
78	24	129
79	24	129
80	25	129
81	25	128
82	25	128
83	25	127
84	26	127
85	26	126
86	26	126
87	26	125
88	27	125
89	27	124
90	27	124
91	27	123
92	28	123
93	28	122
94	28	121
95	28	121
96	29	120
97	29	120
98	29	119
99	29	118
100	29	118
101	30	117
102	30	116
103	30	116
104	30	115
105	30	115
106	31	114
107	31	113
108	31	113
109	31	113
110	32	112
111	32	112
112	32	111
113	32	110
114	33	112
115	33	111
116	33	111
117	34	110
118	34	110
119	34	109
120	34	109
121	35	108
122	35	108
123	35	107
124	35	107
125	35	106
126	36	106
127	36	105
128	36	105
129	36	104
130	36	104
131	37	103
132	37	103
133	37	102
134	37	102
135	37	101
136	38	101
137	38	100
138	38	100
139	38	99
140	38	99
141	39	98
142	39	98
143	39	97
144	39	97
145	39	96
146	40	96
147	40	95
148	40	95
149	40	95
150	41	94
151	41	94
152	41	94
153	41	93
154	41	93
155	42	92
156	42	92
157	42	91
158	42	91
159	42	91
160	43	90
161	43	90
162	43	89
163	43	89
164	43	88
165	44	88
166	44	88
167	44	87
168	44	87
169	44	87
170	45	86
171	45	86
172	45	85
173	45	85
174	45	84
175	45	84
176	46	84
177	46	83
178	46	83
179	46	82
180	46	82
181	46	82
182	47	81
183	47	81
184	47	80
185	47	80
186	47	79
187	47	79
188	48	79
189	48	78
190	48	78
191	48	77
192	48	77
193	48	77
194	49	76
195	49	76
196	49	75
197	49	75
198	49	75
199	49	74
200	49	74
201	50	73
202	50	73
203	50	73
204	50	72
205	50	72
206	50	72
207	51	71
208	51	71
209	51	70
210	51	70
211	51	70
212	51	69
213	52	69
214	52	69
215	52	68
216	52	68
217	52	68
218	52	67
219	53	67
220	53	67
221	53	66
222	53	66
223	53	66
224	53	65
225	54	65
226	54	65
227	54	64
228	54	64
229	54	64
230	54	63
231	55	63
232	55	63
233	55	62
234	55	62
235	55	62
236	55	61
237	56	61
238	56	61
239	56	61
240	56	60
241	56	60
242	56	60
243	57	59
244	57	59
245	57	59
246	57	58
247	57	58
248	57	58
249	57	57
250	58	57
251	58	57
252	58	56
253	58	56
254	58	56
255	58	56
256	58	55
257	59	55
258	59	55
259	59	54
260	59	54
261	59	54
262	59	53
263	59	53
264	60	53
265	60	52
266	60	52
267	60	52
268	60	52
269	60	51
270	60	51
271	61	51
272	61	50
273	61	50
274	61	50
275	61	49
276	61	49
277	61	49
278	61	49
279	62	48
280	62	48
281	62	48
282	62	47
283	62	47
284	62	47
285	62	47
286	63	46
287	63	46
288	63	46
289	63	45
290	63	45
291	63	45
292	63	45
293	63	44
294	64	44
295	64	44
296	64	43
297	64	43
298	64	43
299	64	43
300	64	42
301	65	42
302	65	42
303	65	42
304	65	41
305	65	41
306	65	41
307	65	41
308	65	40
309	66	40
310	66	40
311	66	39
312	66	39
313	66	39
314	66	39
315	66	38
316	66	38
317	67	38
318	67	38
319	67	37
320	67	37
321	67	37
322	67	37
323	67	36
324	68	36
325	68	36
326	68	36
327	68	35
328	68	35
329	68	35
330	68	35
331	69	34
332	69	34
333	69	34
334	69	34
335	69	33
336	69	33
337	69	33
338	70	33
339	70	33
340	70	32
341	70	32
342	70	32
343	70	32
344	70	31
345	70	31
346	71	31
347	71	31
348	71	30
349	71	30
350	71	30
351	71	30
352	71	29
353	72	29
354	72	29
355	72	29
356	72	29
357	72	28
358	72	28
359	72	28
360	72	28
361	73	27
362	73	27
363	73	27
364	73	27
365	73	26
366	73	26
367	73	26
368	74	26
369	74	26
370	74	25
371	74	25
372	74	25
373	74	25
374	74	24
375	74	24
376	75	24
377	75	24
378	75	24
379	75	23
380	75	23
381	75	23
382	75	23
383	75	22
384	76	22
385	76	22
386	76	22
387	76	22
388	76	21
389	76	21
390	76	21
391	77	21
392	77	21
393	77	20
394	77	20
395	77	20
396	77	20
397	77	19
398	77	19
399	78	19
400	78	19
401	78	19
402	78	18
403	78	18
404	78	18
405	78	18
406	79	18
407	79	17
408	79	17
409	79	17
410	79	17
411	79	17
412	79	16
413	80	16
414	80	16
415	80	16
416	80	16
417	80	15
418	80	15
419	80	15
420	80	15
421	81	14
422	81	14
423	81	14
424	81	14
425	81	14
426	81	13
427	81	13
428	82	13
429	82	13
430	82	13
431	82	12
432	82	12
433	82	12
434	82	12
435	82	12
436	83	11
437	83	11
438	83	11
439	83	11
440	83	11
441	83	10
442	83	10
443	83	10
444	84	10
445	84	10
446	84	9
447	84	9
448	84	9
449	84	9
450	84	9
451	84	9
452	85	8
453	85	8
454	85	8
455	85	8
456	85	8
457	85	7
458	85	7
459	86	7
460	86	7
461	86	7
462	86	6
463	86	6
464	86	6
465	86	6
466	87	6
467	87	5
468	87	5
469	87	5
470	87	5
471	87	5
472	87	5
473	87	4
474	88	4
475	88	4
476	88	4
477	88	4
478	88	3
479	88	3
480	88	3
