iter	Passed	Remaining
0	1	1422
1	1	985
2	2	828
3	2	745
4	3	720
5	4	672
6	4	634
7	4	603
8	5	584
9	5	570
10	6	569
11	6	566
12	7	558
13	7	550
14	8	540
15	8	532
16	9	527
17	9	521
18	10	526
19	11	558
20	12	573
21	12	570
22	13	586
23	14	592
24	15	595
25	15	594
26	17	629
27	18	629
28	18	622
29	19	617
30	19	610
31	19	603
32	20	597
33	20	591
34	21	585
35	21	578
36	22	575
37	22	571
38	23	566
39	23	563
40	23	558
41	24	553
42	24	550
43	25	547
44	25	542
45	25	538
46	26	535
47	26	533
48	27	532
49	27	529
50	28	527
51	28	525
52	29	522
53	29	521
54	30	520
55	30	518
56	31	517
57	31	516
58	32	515
59	32	513
60	33	510
61	33	508
62	34	506
63	34	505
64	34	502
65	35	503
66	36	502
67	36	500
68	36	497
69	37	498
70	37	496
71	38	496
72	38	494
73	39	492
74	39	490
75	40	489
76	40	487
77	41	485
78	41	486
79	42	485
80	42	484
81	43	484
82	43	482
83	44	483
84	44	482
85	45	481
86	45	480
87	46	480
88	46	479
89	47	477
90	47	476
91	48	475
92	48	474
93	49	473
94	49	471
95	49	470
96	50	469
97	51	472
98	51	471
99	52	470
100	52	468
101	53	467
102	53	467
103	54	466
104	54	465
105	55	464
106	55	464
107	56	463
108	56	462
109	57	461
110	57	460
111	58	460
112	58	461
113	59	460
114	59	459
115	60	459
116	60	457
117	61	456
118	61	456
119	62	455
120	62	454
121	62	453
122	63	453
123	64	452
124	64	451
125	64	450
126	65	449
127	65	448
128	66	447
129	66	446
130	67	445
131	67	444
132	68	444
133	68	443
134	69	442
135	69	441
136	69	440
137	70	439
138	70	438
139	71	438
140	71	437
141	72	436
142	72	435
143	73	435
144	73	434
145	74	433
146	74	432
147	74	431
148	75	430
149	75	429
150	76	428
151	76	427
152	77	427
153	77	426
154	78	425
155	78	424
156	78	424
157	79	423
158	79	422
159	80	421
160	80	421
161	81	420
162	81	419
163	82	418
164	82	417
165	83	417
166	83	416
167	83	415
168	84	414
169	84	413
170	85	413
171	85	412
172	86	412
173	86	412
174	87	411
175	87	410
176	88	410
177	88	410
178	89	412
179	90	413
180	91	413
181	91	412
182	92	412
183	92	411
184	93	410
185	93	409
186	94	409
187	94	408
188	95	407
189	95	407
190	95	406
191	96	405
192	96	404
193	97	403
194	97	403
195	98	402
196	98	402
197	99	402
198	100	403
199	100	403
200	101	403
201	101	402
202	102	402
203	103	402
204	103	401
205	104	401
206	104	400
207	105	399
208	105	399
209	105	398
210	106	398
211	106	397
212	107	396
213	107	396
214	108	396
215	108	395
216	109	394
217	109	393
218	110	393
219	110	392
220	111	391
221	111	390
222	111	389
223	112	389
224	112	389
225	113	389
226	114	388
227	114	388
228	115	388
229	115	388
230	116	387
231	116	387
232	117	386
233	117	385
234	118	384
235	118	384
236	119	383
237	119	382
238	119	381
239	120	381
240	120	380
241	121	379
242	121	379
243	122	378
244	122	377
245	123	377
246	123	376
247	123	375
248	124	374
249	124	374
250	125	373
251	125	372
252	126	372
253	126	371
254	126	370
255	127	370
256	127	369
257	128	368
258	128	368
259	129	367
260	129	367
261	130	366
262	130	366
263	131	365
264	131	364
265	131	363
266	132	363
267	132	362
268	133	361
269	133	361
270	134	360
271	134	359
272	134	359
273	135	358
274	135	357
275	136	357
276	136	356
277	137	356
278	137	355
279	137	354
280	138	353
281	138	353
282	139	352
283	139	351
284	139	351
285	140	350
286	140	349
287	141	349
288	141	348
289	142	348
290	142	347
291	142	346
292	143	346
293	143	345
294	144	344
295	144	344
296	145	343
297	145	342
298	145	342
299	146	341
300	146	340
301	147	340
302	147	339
303	148	339
304	148	338
305	148	337
306	149	337
307	149	336
308	150	335
309	150	335
310	151	334
311	151	334
312	151	333
313	152	332
314	152	332
315	153	331
316	153	330
317	154	330
318	154	330
319	155	329
320	155	329
321	155	328
322	156	327
323	156	327
324	157	326
325	157	325
326	158	325
327	158	324
328	158	324
329	159	323
330	159	323
331	160	322
332	160	321
333	161	321
334	161	320
335	162	320
336	162	319
337	162	319
338	163	318
339	163	317
340	164	317
341	164	317
342	165	316
343	165	316
344	166	315
345	166	315
346	167	314
347	167	313
348	167	313
349	168	312
350	168	312
351	169	311
352	169	310
353	170	310
354	170	309
355	170	309
356	171	308
357	171	308
358	172	307
359	172	306
360	173	306
361	173	305
362	173	305
363	174	304
364	174	304
365	175	303
366	175	302
367	176	302
368	176	301
369	176	301
370	177	300
371	177	300
372	178	299
373	178	299
374	179	298
375	179	298
376	180	297
377	180	297
378	180	296
379	181	295
380	181	295
381	182	294
382	182	294
383	183	293
384	183	293
385	183	292
386	184	291
387	184	291
388	185	290
389	185	290
390	185	289
391	186	288
392	186	288
393	187	287
394	187	287
395	188	287
396	188	286
397	189	285
398	189	285
399	189	284
400	190	284
401	190	283
402	191	283
403	191	282
404	191	282
405	192	282
406	193	281
407	193	281
408	194	281
409	194	280
410	195	280
411	195	279
412	196	279
413	196	278
414	197	278
415	197	277
416	198	276
417	198	276
418	199	275
419	199	275
420	199	274
421	200	274
422	200	273
423	201	273
424	201	272
425	202	272
426	202	271
427	203	271
428	203	271
429	204	270
430	204	270
431	204	269
432	205	268
433	205	268
434	206	268
435	206	267
436	207	266
437	207	266
438	208	266
439	208	265
440	209	264
441	209	264
442	209	263
443	210	263
444	210	262
445	211	262
446	211	261
447	212	261
448	212	260
449	213	260
450	213	259
451	213	259
452	214	258
453	214	258
454	215	257
455	215	257
456	216	257
457	217	257
458	217	256
459	218	256
460	218	255
461	219	255
462	219	254
463	220	254
464	220	253
465	220	253
466	221	252
467	221	252
468	222	251
469	222	251
470	223	250
471	223	250
472	224	249
473	224	249
474	224	248
475	225	248
476	225	247
477	226	247
478	226	246
479	227	245
480	227	245
481	227	244
482	228	244
483	228	243
484	229	243
485	229	243
486	230	242
487	230	241
488	231	241
489	231	240
490	231	240
491	232	239
492	232	239
493	233	238
494	233	238
495	233	237
496	234	237
497	234	236
498	235	236
499	235	235
500	236	235
501	236	234
502	236	234
503	237	233
504	237	233
505	238	232
506	238	231
507	238	231
508	239	230
509	239	230
510	240	229
511	240	229
512	241	229
513	241	228
514	242	228
515	242	227
516	242	227
517	243	226
518	243	225
519	244	225
520	244	224
521	245	224
522	245	224
523	246	223
524	246	223
525	246	222
526	247	221
527	247	221
528	248	220
529	248	220
530	248	219
531	249	219
532	249	218
533	250	218
534	250	217
535	251	217
536	251	216
537	251	216
538	252	215
539	252	215
540	253	214
541	253	214
542	254	213
543	254	213
544	254	212
545	255	212
546	255	211
547	256	211
548	256	210
549	257	210
550	257	209
551	257	209
552	258	208
553	258	208
554	259	207
555	259	207
556	260	206
557	260	206
558	260	205
559	261	205
560	261	204
561	262	204
562	262	203
563	263	203
564	263	202
565	263	202
566	264	201
567	264	201
568	265	200
569	265	200
570	265	199
571	266	199
572	266	198
573	267	198
574	267	197
575	268	197
576	268	196
577	269	196
578	269	195
579	269	195
580	270	194
581	270	194
582	271	193
583	271	193
584	271	192
585	272	192
586	272	191
587	273	191
588	273	190
589	274	190
590	274	189
591	274	189
